ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,sp_count
AFG,POTA,all,-2.791491049770387e-07,1.7700807985159386e-08,deltaE per km2 per sp.,6700,30997
GBR,POTA,all,-5.75978718265137e-09,6.139747724347644e-10,deltaE per km2 per sp.,4875,30997
ALB,POTA,all,-1.7117655692847817e-09,4.2976446548822207e-10,deltaE per km2 per sp.,437,30997
DZA,POTA,all,-4.588555196279492e-09,5.107699996228556e-10,deltaE per km2 per sp.,3523,30997
USA,POTA,all,-7.605361745969766e-09,7.945486237070119e-10,deltaE per km2 per sp.,87161,30997
ATA,POTA,all,,,deltaE per km2 per sp.,,30997
ATG,POTA,all,0.0,,deltaE per km2 per sp.,4,30997
ARG,POTA,all,-1.0457647990823192e-08,5.69581765506659e-10,deltaE per km2 per sp.,17941,30997
AND,POTA,all,-1.3997978470792205e-10,7.940893240538447e-11,deltaE per km2 per sp.,2,30997
AGO,POTA,all,-1.117243831886095e-08,3.9538350251728675e-10,deltaE per km2 per sp.,10824,30997
ARM,POTA,all,-5.567084098574132e-10,2.3263132398239252e-10,deltaE per km2 per sp.,436,30997
NLD,POTA,all,-8.518814158977603e-11,8.34177174392556e-12,deltaE per km2 per sp.,676,30997
AUS,POTA,all,-1.9170176321643125e-08,8.588832486442925e-10,deltaE per km2 per sp.,24327,30997
AUT,POTA,all,-1.291280802471144e-09,9.92042221861546e-11,deltaE per km2 per sp.,1206,30997
AZE,POTA,all,-5.296566490449479e-10,1.3244010665416106e-10,deltaE per km2 per sp.,1288,30997
BHS,POTA,all,3.81122424047292e-11,3.3006258396547984e-11,deltaE per km2 per sp.,4,30997
BRB,POTA,all,-1.3671577954429828e-21,5.275903010425702e-07,deltaE per km2 per sp.,6,30997
BLR,POTA,all,-1.2274244513471824e-10,7.846998020775001e-12,deltaE per km2 per sp.,3941,30997
BEL,POTA,all,-1.165691308242466e-10,4.040819802618535e-11,deltaE per km2 per sp.,560,30997
BLZ,POTA,all,-1.718838699084213e-08,3.9088354876063985e-09,deltaE per km2 per sp.,158,30997
BTN,POTA,all,-8.612975209108475e-10,4.578252546376716e-09,deltaE per km2 per sp.,360,30997
BOL,POTA,all,-1.3047984014173985e-08,1.8586458218393728e-09,deltaE per km2 per sp.,8798,30997
BIH,POTA,all,-4.777388405187753e-10,9.23675471259807e-11,deltaE per km2 per sp.,808,30997
BWA,POTA,all,-8.736804667383764e-09,2.872221461082073e-10,deltaE per km2 per sp.,3173,30997
