,SM_name,Item_Code_FAO,WWF_cat,WWF_flag,OTHER_name
138,Jojoba seed,277,Oils Misc.,,
139,Yautia (cocoyam),135,Cassava and Other Roots,,
140,Kapok fruit,310,Oils Misc.,,
141,Kapokseed in shell,311,Oils Misc.,,
142,Cassava leaves,378,Cassava and Other Roots,,
143,Bambara beans,203,Beans & Pulses,,
144,Meat; buffalo,947,Bovine Meat (Beef Herd),,
145,Meat; cattle,867,Bovine Meat (Beef Herd),,
146,Milk; whole fresh cow,882,Milk,,
146.5,Milk; whole fresh buffalo,951,Milk,,
147,Meat; sheep,977,Mutton & Goat Meat,,
148,Meat; goat,1017,Mutton & Goat Meat,,
149,Meat; pig,1035,Pig Meat,,
150,Meat; chicken,1058,Poultry Meat,,
151,Eggs; hen; in shell,1062,Eggs,,
152,Meat; duck,1069,Poultry Meat,,
153,Meat; goose and guinea fowl,1073,Poultry Meat,,
154,Meat; turkey,1080,Poultry Meat,,
155,Eggs; other bird; in shell,1091,Eggs,,
156,Meat; horse,1097,"Meat, Other",,
157,Meat; rabbit,1141,"Meat, Other",,
158,Meat nes,1166,"Meat, Other",,
159,Milk; raw sheep,982,Milk,,
