Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,spam_2000,spam_2005,spam_2010,spam_2020
Pigeon peas,197,17,pigeonpea,pige,nes,pig,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,PIGE,PIGE,PIGE
Jojoba seed,277,40,temperate fruit,temf,nes,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,TROF,TROF,TROF
Yautia (cocoyam),135,13,other roots,orts,rt3,,Roots,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",,ORTS,ORTS,ORTS
Kapok fruit,310,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,TROF,TROF,TROF
Kapokseed in shell,311,39,tropical fruit,trof,nes,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,TROF,TROF,TROF
Cassava leaves,378,12,cassava,cass,rt2,csv,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",CASS,CASS,CASS,CASS
Karite nuts (sheanuts),263,40,temperate fruit,temf,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,TROF,TROF,TROF
Bambara beans,203,21,groundnut,grou,nes,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",,GROU,GROU,GROU
Meat; cattle,867,-99,ruminant meat,past,beef,Ruminant,,Ruminant meat,bvmeat,Cattle meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,,CATTL,CATTL,CATTL
Milk; whole fresh cow,882,-99,dairy,past,dairy,Ruminant,,Dairy,bvmilk,Dairy,Dairy,,Dairy,Dairy,Dairy and eggs,,CATTL,CATTL,CATTL
Meat; buffalo,947,,,,,,,,bvmeat,,,,,,Ruminant meat,,BUFFA,BUFFA,BUFFA
Milk; whole fresh buffalo,951,,,,,,,,bvmilk,,,,,,Dairy and eggs,,BUFFA,BUFFA,BUFFA
Meat; sheep,977,-99,ruminant meat,past,sheep,Ruminant,,Ruminant meat,sgmeat,Sheep and goat meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,,SHEEP,SHEEP,SHEEP
Meat; goat,1017,-99,ruminant meat,past,sheep,Ruminant,,Ruminant meat,sgmeat,Sheep and goat meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,,GOATS,GOATS,GOATS
Meat; pig,1035,-99,meat,past,pig,Monogastric,,Pig meat,pigs,Pig meat,Pig meat,,Pig meat,Pig meat,Poultry and pig meat,,SWINE,SWINE,SWINE
Meat; chicken,1058,-99,meat,past,poultry,Monogastric,,Poultry meat,chickens,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,,CHICK,CHICK,CHICK
Eggs; hen; in shell,1062,-99,eggs,past,egg,Monogastric,,Eggs,chickens,Eggs,Eggs,,Eggs,Eggs,Dairy and eggs,,CHICK,CHICK,CHICK
Meat; duck,1069,-99,meat,past,poultry,Monogastric,,Poultry meat,ducks,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,,DUCKS,DUCKS,DUCKS
Meat; goose and guinea fowl,1073,-99,meat,past,poultry,Monogastric,,Poultry meat,ducks,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,,DUCKS,DUCKS,DUCKS
Meat; turkey,1080,-99,meat,past,poultry,Monogastric,,Poultry meat,chickens,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,,CHICK,CHICK,CHICK
Eggs; other bird; in shell,1091,-99,eggs,past,egg,Monogastric,,Eggs,ducks,Eggs,Eggs,,Eggs,Eggs,Dairy and eggs,,DUCKS,DUCKS,DUCKS
Meat; horse,1097,-99,meat,past,,Ruminant,,Ruminant meat,past,Other ruminant meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,,HORSE,HORSE,HORSE
Meat; rabbit,1141,-99,meat,past,,Monogastric,,,sgmeat,,,,,,Ruminant meat,,SHEEP,SHEEP,SHEEP
Meat nes,1166,-99,meat,past,,Ruminant,,Ruminant meat,past,Other ruminant meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,,CATTL,CATTL,CATTL
Cotton,,,,,,,,,,,,,,,,,COTT,COTT,COTT
Rubber,,,,,,,,,,,,,,,,,,,RUBB
