Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,spam_2000,spam_2005,spam_2010,spam_2020
Coconuts,249,22,coconut,cnut,frt,con,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Tropical fruit,Tropical fruit,Fruit and vegetables,,CNUT,CNUT,CNUT
Oil palm fruit,254,23,oilpalm,oilp,olp,olp,,,,,Other,Other,Oilcrops,Oilcrops,"Legumes, beans, nuts",,OILP,OILP,OILP
Olives,260,40,temperate fruit,temf,olv,olv,,Vegetables,,Olives,Vegetables,Vegetables,Olives,Vegetables,Fruit and vegetables,,TEMF,TEMF,TEMF
Sunflower seed,267,24,sunflower,sunf,sfl,sfl,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Legumes and pulses,"Legumes, beans, nuts",,SUNF,SUNF,SUNF
Rapeseed,270,25,rapeseed,rape,rsd,rsd,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Oilcrops,"Legumes, beans, nuts",,RAPE,RAPE,RAPE
Sesame seed,289,26,sesameseed,sesa,nes,,Oils,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Oilcrops,"Legumes, beans, nuts",,SESA,SESA,SESA
Mustard seed,292,25,rapeseed,rape,nes,,Oils,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Legumes and pulses,Oilcrops,"Legumes, beans, nuts",,RAPE,RAPE,RAPE
Cabbages and other brassicas,358,41,vegetables,vege,veg,cab,,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Artichokes,366,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Asparagus,367,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Lettuce and chicory,372,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Spinach,373,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Tomatoes,388,41,vegetables,vege,veg,tom,,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,TOMA
Cauliflowers and broccoli,393,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Pumpkins; squash and gourds,394,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Cucumbers and gherkins,397,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Eggplants (aubergines),399,41,vegetables,vege,veg,,Solanaceae,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Chillies and peppers; green,401,41,vegetables,vege,veg,,Solanaceae,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Onions; shallots; green,402,41,vegetables,vege,veg,oni,,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,ONIO,ONIO,ONIO
