,nes,nes_err,ban,ban_err,veg,veg_err,grd,grd_err,frt,frt_err,mlt,mlt_err,brl,brl_err,rt3,rt3_err,rt2,rt2_err,olp,olp_err,tob,tob_err,rt1,rt1_err,cc2,cc2_err,olv,olv_err,srg,srg_err,rsd,rsd_err,oce,oce_err,cot,cot_err,sfl,sfl_err,whe,whe_err,pls,pls_err,mze,mze_err,sub,sub_err,suc,suc_err,fdd,fdd_err,soy,soy_err,rcw,rcw_err,bvmeat,bvmeat_err,bvmilk,bvmilk_err,sgmeat,sgmeat_err,chickens,chickens_err,ducks,ducks_err,pigs,pigs_err,crop,crop_err,past,past_err,gh_all,gh_all_err
SYC,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
SRB,3.5401848337276207e-06,1.676512633334753e-15,,,3.610210691491031e-06,1.7076069655324181e-15,,,3.4620733046097286e-06,1.7520374586486559e-15,,,3.541007522867303e-06,1.6291229661417097e-15,,,,,,,3.5449548416597962e-06,1.5660285348581776e-15,3.4835838246576446e-06,1.6025175101905506e-15,,,,,,,3.5408695970956656e-06,1.6286632584930624e-15,3.6171608949090816e-06,1.717322867372324e-15,,,3.5410395282677034e-06,1.629378317251196e-15,3.5410143823300785e-06,1.6291129075507137e-15,3.6034428239361206e-06,1.7049641838140252e-15,3.541789140734333e-06,1.661620271333619e-15,3.5423338809773405e-06,1.6637377399886517e-15,,,3.6359555103972735e-06,1.7391936448719128e-15,3.536589872166686e-06,1.6066542783937658e-15,,,4.223927483578642e-06,6.830182684027933e-13,4.223927483578642e-06,6.830182684027933e-13,5.107075531590706e-06,7.336899301996761e-13,3.916502648652321e-06,1.0543922715048812e-12,7.211121235235368e-06,8.494921568767571e-13,4.35759447102806e-06,7.9515791565706e-13,3.540202154173016e-06,6.526308507119008e-13,3.6489121826646026e-06,1.0529919405114588e-15,3.557095254017605e-06,6.393748285891115e-13
SEN,1.1011126692875436e-05,4.7042696357449e-14,1.113243948105131e-06,1.2226509259298235e-15,8.455414824692443e-06,7.004394187702135e-14,1.33269068397885e-05,4.7127200282360735e-14,8.99598487398912e-06,8.733409985059048e-14,9.690403328192042e-06,4.971316829416644e-14,,,,,9.099718598458533e-06,5.504341429191237e-14,,,,,7.369409896299692e-06,8.078394161150035e-14,,,,,7.43913405093152e-06,4.5473123022320555e-14,,,,,1.2947310026107008e-05,7.506216960644108e-14,,,,,1.0913955087113438e-05,4.7650809037070603e-14,1.098511470966146e-05,4.957582812720962e-14,,,2.2266554709759614e-06,1.2220383513815667e-15,,,,,6.362619114085902e-06,1.0905694153245753e-13,8.75905240427948e-06,3.399302628052347e-14,8.75905240427948e-06,3.399302628052347e-14,9.077950390985828e-06,4.366338186280874e-14,3.480323256374837e-06,4.2381084314365437e-13,,,1.3685929589813984e-05,8.61617017091399e-14,1.0919789904190132e-05,4.171647227017347e-14,5.239577142002538e-06,9.944674956555449e-15,7.45484584284291e-06,3.111562691703523e-14
SAU,7.895902095112091e-07,3.879941255742191e-16,,,8.991283947394867e-07,3.934133987972821e-16,,,7.939609014397601e-07,3.8760966117877746e-16,8.243040224355554e-12,5.515925498615053e-25,1.460520437292185e-06,6.843543224978685e-16,,,,,,,0.0,0.0,9.441366405469783e-07,3.917553161467145e-16,,,,,4.2540841396197475e-07,5.688818751214394e-16,,,,,0.0,0.0,,,9.610357571898156e-07,4.1688906712271704e-16,8.440760949848725e-07,4.0889195781327453e-16,9.474821570289177e-07,4.617641643548977e-16,,,,,8.33243729625053e-07,3.6442400548344225e-16,,,,,5.605201880783331e-07,5.4748634619473296e-14,5.605201880783331e-07,5.4748634619473296e-14,4.651522814970457e-07,4.122648523139229e-14,3.701725810399015e-07,5.1116669820988144e-14,,,,,6.535287048650948e-07,6.787885365754826e-14,3.0464340928072444e-08,2.781070330056154e-17,4.337848944906927e-08,1.9920415893852722e-14
STP,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
VCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,6.110670575459347e-12,4.390856164780552e-27,,,,,,,5.1890856071451925e-12,4.42682184898461e-27,,,,,7.122999736810705e-12,4.7225869331913976e-27,6.008970759620774e-12,4.694217492740694e-27,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3.4770282741391966e-12,7.629431228790386e-27,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580533001478335e-12,5.162979059562405e-27,1.7418994861178803e-11,4.635030938617518e-27,8.138286705644388e-12,5.0370352855443905e-27
KNA,7.81863657712233e-06,2.636578478549261e-16,,,7.389051641568586e-06,2.666516302925243e-16,6.969428732258618e-06,2.698657095266546e-16,7.817690835839021e-06,2.6366410157689585e-16,,,,,7.520897495807894e-06,2.6570039783943475e-16,,,,,,,7.612581553623205e-06,2.6505574345353265e-16,,,,,,,,,,,6.969428383550699e-06,2.6986571231373014e-16,,,,,9.276721434072701e-06,2.5586636357811507e-16,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.1748083880342664e-05,3.196089082826256e-15,5.679675398084991e-06,4.552782864639435e-16,1.119024547764837e-05,3.194617282607575e-15
RWA,0.00011406620024802094,8.412030498149612e-13,9.372538166047158e-06,1.1872676354258692e-15,0.00012248337461423403,6.868866711645651e-13,1.024457928568762e-05,2.9769146068367286e-15,0.00013167147855897677,7.048476583659639e-13,3.687850286829707e-05,2.0641869175965036e-15,,,2.2208508461424462e-05,4.048039462454303e-14,1.2423218930178786e-05,2.128768503086913e-14,,,8.4052080780691e-05,2.292506501796125e-13,0.0001832740665758552,6.720801836126697e-13,0.0001021339321260904,3.785518731413205e-13,,,0.00011799642139155393,3.6155880628985335e-13,,,7.051410076706881e-06,1.6030405403011886e-16,9.895253697089382e-06,4.600603308872258e-16,4.513822992430794e-05,8.76787580886008e-15,0.00028318793455867395,8.176623694156993e-13,0.00013981167061158183,4.0647694459869923e-13,0.00015118163860675172,4.0346563631138483e-13,,,1.5878683653016518e-05,1.9792782697819176e-14,,,1.4668606803530706e-05,2.9033655411541845e-14,1.4291852813953288e-05,8.021593504409722e-15,8.999029971185017e-05,5.006906794287217e-13,8.999029971185017e-05,5.006906794287217e-13,0.0001535094488408495,6.169766601422021e-13,4.4051276852367924e-05,6.549223237043243e-13,8.298675143300413e-05,7.336060261811802e-13,0.00014029851734951012,5.776183707088105e-13,9.582026004555596e-05,5.054479471117257e-13,5.907238897917203e-05,5.082184603827411e-13,8.751515831122183e-05,4.833272395614644e-13
RUS,6.626541374801338e-07,3.70821268113639e-13,,,1.4960703330962628e-06,9.524560414355787e-14,,,1.5725311036971429e-06,7.736456203473157e-14,1.5442980742460016e-06,4.243408088308718e-14,1.1242227686293755e-06,4.48793713704567e-14,,,,,,,5.700917871376778e-07,2.7777708784880913e-19,1.2652065252631202e-06,4.9821115418116945e-14,,,,,,,1.045466051613214e-06,1.1198103358010251e-13,1.4356634475895184e-06,5.521248715278765e-14,,,2.0772856360168814e-06,5.740517020838924e-14,1.3102489247999697e-06,3.952237781125026e-14,1.4089311576783262e-06,5.422222546127765e-14,1.1498642625124324e-06,6.330620271180751e-14,2.3764613880022317e-06,9.502488184950753e-14,,,1.3010556884221063e-06,4.917320463469358e-14,1.3078437548960892e-06,5.5449993490680105e-14,2.108763009538342e-06,6.246830095641446e-16,1.9130457488695827e-06,1.684232682776014e-12,1.9130457488695827e-06,1.684232682776014e-12,1.712416485653742e-06,3.903116847083564e-12,2.0639519560364976e-06,2.640368230905064e-12,2.3284661994899786e-06,2.9464736182953705e-12,2.0177443899784642e-06,3.2760099511149884e-12,1.263120673676601e-06,7.27247837682615e-13,7.572433636064939e-07,1.7543652150590916e-12,1.0471440396370612e-06,2.1968577957617838e-12
ROU,2.8295685762037655e-06,4.86434064381905e-13,,,3.437429684019612e-06,1.2834413343422097e-13,,,3.1140047828106935e-06,4.974665529126551e-13,2.2822672341971055e-06,4.033838049794709e-17,2.887556977046048e-06,1.394615954405967e-13,,,,,,,3.5097519541317113e-06,5.5339782135655536e-17,2.5346414119899365e-06,1.1061482680183264e-13,,,,,,,3.573255613799183e-06,1.366765893703202e-13,2.7320426104380368e-06,1.1042594259435932e-13,,,3.3891834835434013e-06,3.562979022491997e-15,2.6165132675146994e-06,1.0676230330489085e-13,3.0255913101574023e-06,8.466331901214833e-15,3.1758751500532854e-06,4.309146543445159e-15,2.4084079896550544e-06,2.672670287552494e-13,,,3.162186539345169e-06,4.507604292098474e-13,3.5754492875587646e-06,1.0470904129774162e-15,4.895084396390891e-06,3.8857431597681193e-16,5.6354845427711665e-06,3.9996050333083785e-13,5.6354845427711665e-06,3.9996050333083785e-13,3.743312430393546e-06,4.2852123606255617e-13,3.0871759633772016e-06,4.887376883341744e-13,3.0540844159947627e-06,4.807958243307376e-13,3.4933788783860125e-06,4.651091214375021e-13,3.0899207314197067e-06,4.3537062748831983e-13,2.6298758405896574e-06,5.5228518518741496e-15,2.935721694107607e-06,4.041503239474292e-13
QAT,2.7750478150076752e-08,6.430618362096942e-22,,,3.9545870528242086e-08,1.4674445851834162e-19,,,3.3682206977893386e-08,1.4121651027324818e-19,,,3.986779272661378e-08,1.5520643338137937e-19,,,,,,,,,2.5739482743520364e-08,5.916778774882245e-22,,,,,2.592112655321148e-08,5.956494175240466e-22,,,,,,,,,,,2.641243550381305e-08,6.07093811019499e-22,3.602665188124747e-08,1.3438496560796312e-19,,,,,3.630657285039324e-08,1.4079554411900331e-19,,,,,3.2743784521811113e-07,1.8973992389346673e-18,3.2743784521811113e-07,1.8973992389346673e-18,4.339192639612611e-07,2.2173141845819712e-18,6.207778337093276e-08,1.4805496914846176e-18,4.612657674768917e-07,2.2285105177286516e-18,,,4.544068379762236e-08,2.343444604205888e-17,2.7197141139570086e-08,3.2445932768541143e-19,3.109665353398471e-08,1.961913485756425e-17
PRT,9.759726544038066e-06,5.6230753239891346e-14,9.02479891388819e-06,1.873162612110646e-15,8.826310872628783e-06,4.4526462287794075e-11,,,9.132820097202399e-06,3.71031585789212e-11,,,1.1031011703713594e-05,6.181385975247284e-11,,,,,,,1.5027837057593463e-05,4.67206941131255e-15,9.898484170530881e-06,4.21032906563709e-11,,,9.881562756756772e-06,3.7765426809550653e-14,,,,,9.180227185929196e-06,4.0954573215129994e-11,1.0905653108274803e-05,3.1761193297510995e-15,1.1354091640333903e-05,6.427616574562882e-14,1.118265701824959e-05,5.1357068373350217e-11,9.64893950470725e-06,3.866935317643929e-11,9.048772296154208e-06,4.212833341275824e-11,1.3279368803194072e-05,4.048567789823117e-15,,,1.0070190794845626e-05,3.459976100964994e-11,,,9.042166656127901e-06,4.861482619628723e-14,1.0425518609396781e-05,5.2936872149743515e-11,1.0425518609396781e-05,5.2936872149743515e-11,1.291886855997889e-05,3.7713196528501715e-11,1.3774309858994005e-05,9.174059773220213e-11,1.4641741473505329e-05,4.144584723531934e-11,1.2157544950189e-05,8.268740005117054e-11,9.76516872463172e-06,3.384292792750054e-11,9.079363799662332e-06,1.2988175440548215e-14,9.42221757998179e-06,3.3790553593836487e-11
POL,2.3917375572134575e-06,9.438788467250514e-14,,,2.4232534955366772e-06,1.73834576617047e-13,,,2.347900090628942e-06,2.049629738192943e-13,,,2.402892241326888e-06,9.353962419891953e-14,,,,,,,2.75252016516469e-06,1.3543914712595179e-14,2.4184883860553555e-06,1.7402061347223668e-13,,,,,,,2.399469483382967e-06,1.0407668039831743e-13,2.4185247579397514e-06,9.144440084839335e-14,,,2.3978026868662817e-06,2.3292586310974733e-15,2.399148437555797e-06,9.309152780526444e-14,2.4122314408888604e-06,9.131081811779119e-14,2.5297351336012477e-06,2.3250402167873036e-13,2.388061455463143e-06,2.1483130550409004e-13,,,2.4567814538034454e-06,1.8511149257434079e-13,2.146806475352802e-06,3.635877218924572e-17,,,3.887260164396356e-06,4.5092556506011747e-13,3.887260164396356e-06,4.5092556506011747e-13,5.97837238762116e-06,6.334873757797296e-13,2.8593996911345723e-06,6.371526393255185e-13,4.570174612167441e-06,4.789604530375716e-13,3.7424771652167907e-06,5.569906353553524e-13,2.408980804764794e-06,3.7457910432144844e-13,2.339356442831452e-06,4.02427261706384e-15,2.3933578030800613e-06,3.735949953296054e-13
PHL,9.230754156506865e-05,2.08062976871374e-12,8.05975382099223e-05,1.9977957308090796e-12,8.843166358283124e-05,2.3761276206867856e-12,7.532235665999678e-05,3.1730695156592613e-12,8.450132513098063e-05,2.0844571484073883e-12,,,,,9.206978426262868e-05,1.837299790004057e-12,8.251483179507093e-05,1.8460749347577303e-12,7.326837405567759e-05,1.449096613765714e-12,8.92227365240994e-05,2.915789393471564e-12,8.723551980495106e-05,2.145843911096358e-12,8.020158015623202e-05,2.2796478942838886e-12,,,,,,,,,,,,,,,8.862025661749405e-05,2.209851371041382e-12,0.00010494461484652312,2.4115240146786662e-12,,,0.0001102321079658768,3.174993529955367e-12,8.972128808756207e-05,2.2625575534529473e-12,,,7.560309971108168e-05,2.2143671430182143e-12,8.031162073757665e-05,2.8478857377627795e-12,8.031162073757665e-05,2.8478857377627795e-12,9.100229407247481e-05,5.392818883165024e-12,8.107488623602495e-05,4.0691309054446896e-12,6.646287238317208e-05,6.873435993214362e-12,8.976610163625904e-05,3.4084458484511246e-12,8.740779942823796e-05,1.1673424714554006e-09,7.839228520722554e-05,5.2389357350129105e-12,8.631400192078001e-05,1.144204100788088e-09
PER,4.386172326545103e-05,2.9045459732997645e-11,,,0.0001187433436558751,2.4324784890525136e-11,,,9.178834223352122e-05,2.6966582068740812e-11,,,0.00012779199061575464,3.342375168833626e-11,4.045739433660854e-05,1.430049836686216e-12,6.194983408905485e-05,9.838110532363565e-13,2.205353449087983e-05,2.323881375024076e-13,5.884126736172578e-05,2.7137951960040178e-12,0.00020766371420476984,1.9848312729824494e-11,7.939142709847059e-05,4.7476573832862096e-12,,,,,,,5.179322255276233e-05,9.376649834145444e-12,2.9960756552458682e-05,2.5078714664595863e-12,,,0.00026769813828930755,2.334535633511694e-11,0.00010904082748883212,6.322371688562554e-12,5.8896535257134446e-05,7.213585707102382e-12,,,3.669529885380962e-05,1.897466119830108e-12,6.768208691776916e-05,2.1633254420545646e-11,,,3.675495382167937e-05,1.9448660646865446e-12,0.00012266672246899986,2.7907663418272913e-11,0.00012266672246899986,2.7907663418272913e-11,5.851221113422614e-05,3.2069423863323806e-11,4.760522749039803e-05,1.1267599185115039e-10,9.82335190084369e-05,2.3793454002538465e-11,0.00013289679301840176,7.411747301701533e-11,7.703901887325114e-05,2.4348949560031224e-11,3.561032492020525e-05,4.7148174844711635e-12,4.465981762823992e-05,2.105456012502647e-11
PRY,2.8735687488275047e-05,7.147731888000814e-13,2.8042864651232046e-05,6.382876612539011e-13,3.513596857654377e-05,1.7450252133702414e-12,3.269765866189756e-05,1.315910517334398e-12,1.838303450459957e-05,9.165861816927402e-13,,,,,,,2.923094308093678e-05,7.66329316106889e-13,1.1548262417687346e-06,5.898292911541131e-14,4.562222817572049e-05,1.0817521776539251e-12,3.848299503564553e-05,7.285172685366378e-13,3.353795334488562e-05,1.2916119180549541e-12,,,3.2709272146012765e-05,1.3213443551196058e-12,3.9252621086094646e-05,7.212928758872768e-13,,,3.643933393659949e-05,5.239386914179632e-13,3.270266726981855e-05,1.3136191108274197e-12,4.902244710965302e-05,4.478373446723983e-13,3.536718415715623e-05,6.948049619088751e-13,3.837268176322758e-05,4.791925419395793e-13,,,3.610232674585456e-05,7.7929213614937e-13,2.5677914759584326e-05,7.854857860188765e-13,4.884242935888819e-05,3.2402127022522305e-13,4.246142779780116e-05,8.597900668582295e-13,2.346318883762769e-05,4.08097234305674e-12,2.346318883762769e-05,4.08097234305674e-12,3.486922289209787e-05,4.186185116938468e-12,3.7195386897715877e-05,1.9375429890699644e-11,4.871343035327632e-05,6.32582255570944e-12,5.326123015590471e-05,7.147886353782323e-12,3.5938417786257094e-05,7.080189110383607e-13,1.676953809730043e-05,3.527467190949255e-12,2.076601903233189e-05,3.830987467524504e-12
PNG,2.419043039923675e-05,5.818499977851422e-09,2.614667312488631e-05,6.079582905978193e-09,2.3566989282717558e-05,8.516687320502997e-09,,,2.800371756813562e-05,5.39537646663565e-09,,,,,3.058740379454081e-05,5.1752339628543124e-09,2.6611956949394797e-05,5.3974656418112815e-09,2.265356120567256e-05,1.4617679837887663e-09,,,2.503174140505813e-05,5.781120479228816e-09,2.7287360640075977e-05,5.3288001841351425e-09,,,,,,,,,,,,,,,,,2.7030846027952773e-05,6.079824829254023e-09,,,2.5729013518242146e-05,6.088321186944962e-09,,,,,,,0.0007229568364486053,4.243703109195077e-06,0.0007229568364486053,4.243703109195077e-06,0.0026871466980416606,2.1106815514817246e-06,0.0028553321067377145,2.0632520500443406e-06,0.002898249310305922,2.1763759682194515e-06,0.0031328133893632646,2.07452490473171e-06,2.6203446257223404e-05,7.948900268400389e-09,5.211104896245812e-05,3.3264514773587675e-06,3.0296549782050542e-05,4.2373824493495235e-06
PAN,0.00018795683734177583,1.4607109190104054e-11,0.00016640984106158023,8.088087655527359e-11,0.00015534407673827236,7.637589464866954e-11,,,0.000173046376631947,7.196313547563485e-11,,,,,0.0001995636037038883,7.165765444959322e-11,0.00017676415152032915,1.4948808590461814e-11,0.0001728901260342782,1.6441664242013723e-11,7.908715440489647e-05,2.7765750555367106e-11,0.0001750299962473539,1.5069530461160723e-11,0.00016956498379684562,1.6397886964950682e-11,,,0.0001844209089036587,1.755580787035737e-11,,,,,,,,,,,0.00017048099968466917,1.4841598989545138e-11,0.00021637447640430075,1.7120112899215628e-11,,,0.00016819894348182507,1.307180709906559e-10,,,,,0.00018684409154686943,7.714921533199828e-11,0.0003672012910696876,3.1758055109537244e-09,0.0003672012910696876,3.1758055109537244e-09,0.00016960183814556507,3.277760061993885e-09,0.00014854740675148797,1.1425121252296169e-08,0.00014871173721889595,1.122881332406156e-08,0.0002087424490724092,6.758799253052092e-09,0.00018171113942573258,3.0708085000364314e-08,0.00015052329688141264,3.773341399132783e-09,0.00016054348084569044,2.9105796582940655e-08
PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,1.9183214184492444e-05,1.1122217897994703e-11,4.345869045492349e-06,2.2894277622940956e-14,1.9623299480795887e-05,5.7163192956794366e-12,9.928161031166666e-06,4.10819548390645e-11,1.9905104162497783e-05,9.123717680470184e-12,1.0256707946895564e-05,9.530052674472631e-12,,,2.014559724134187e-05,5.596123377935635e-12,,,,,1.6390766550301452e-05,7.031048785258607e-12,1.8850722086628627e-05,5.722097785666328e-12,,,,,1.8206800818247556e-05,8.924327441394046e-12,1.5576589652539826e-05,1.0046788796793793e-11,,,2.093007414582799e-05,6.020116580136024e-12,1.6646548560500477e-05,5.920485708881732e-12,1.845793789029581e-05,7.715423820031983e-12,2.047367169473436e-05,8.683031023915416e-12,1.7765151150991727e-05,9.59964140905132e-12,,,2.1354374109638365e-05,5.8252057474642535e-12,,,,,1.9373321212948437e-05,5.697798915557974e-12,0.0005367691044268192,3.171021710307902e-08,0.0005367691044268192,3.171021710307902e-08,0.0007495030397654175,3.121667463637501e-08,0.0003359688570917102,3.73779450424879e-08,0.00037858652962724954,3.6609434496450656e-08,1.9548491534082598e-05,2.6165020185230766e-16,1.855072798929543e-05,1.384155954541671e-11,8.188498067254027e-06,3.0543075955155537e-08,1.6568090020965025e-05,2.827632218062988e-08
OMN,2.4455292412348434e-08,4.0948716442317625e-22,1.0818037916542461e-07,4.1886327260159423e-17,1.8153395180296534e-06,1.4606984519003349e-15,,,1.6353954200036335e-06,1.530496365231709e-15,,,2.8280993010615634e-08,2.807134422189258e-21,,,,,,,2.539281674630911e-06,1.7709588886660193e-15,2.0686912786014418e-06,1.608447404949984e-15,,,,,2.3956333728294535e-06,1.6409640520619288e-15,,,1.985040140684277e-06,1.3735477056156113e-15,,,,,3.275992926423372e-06,2.0486240771350708e-15,2.4455292412348434e-08,4.0948716442317625e-22,,,,,,,1.3982068583854308e-06,1.4235632294261155e-15,,,,,7.41976203827536e-07,1.3300526053170926e-15,7.41976203827536e-07,1.3300526053170926e-15,7.98455034805279e-07,1.2127864656373298e-15,8.328103865754504e-07,1.499393396301661e-15,,,,,1.593503327469703e-06,1.5025856141519755e-15,2.1546881239184627e-07,1.6603880099597488e-16,2.8559758003965424e-07,9.450509749410282e-16
NOR,1.687111204232167e-06,2.3665553495752487e-16,,,4.4834989529692756e-07,3.2314730035760356e-14,,,2.3786298089160543e-07,2.4730454307780607e-14,,,4.5631886917183104e-07,2.812194192005854e-14,,,,,,,,,4.0716933886093116e-07,2.8966984204347654e-14,,,,,,,4.37192659395051e-07,3.008134199861221e-14,4.6603090378239596e-07,2.834662061974303e-14,,,,,4.460624874445267e-07,1.4783257990986827e-14,5.074285295943871e-07,1.1227921887773103e-14,,,,,,,1.6970504078421112e-07,1.585911437610354e-14,,,,,1.491229756071685e-05,1.8060932440833334e-11,1.491229756071685e-05,1.8060932440833334e-11,5.553510573139089e-06,1.3827292057170895e-11,3.81168459211283e-05,3.631979940179929e-11,2.2127977023927674e-05,6.547223738750944e-11,7.874376054023868e-06,3.1479143970936655e-11,2.6205841917206245e-07,1.5735725155852698e-11,2.1473846379753095e-07,3.5216093638849705e-14,2.536491925464025e-07,1.6931365891149655e-11
PRK,1.0406782857675778e-06,4.446656286858133e-13,,,3.495471229171116e-06,9.527833390419646e-14,5.46161638960808e-06,9.019417397595175e-17,4.089487961551433e-06,7.00564343981927e-14,6.255865514908656e-06,3.338171562075885e-15,4.9430980986585815e-06,1.035026035001978e-13,,,,,,,5.616485340893075e-06,5.011822307635902e-14,3.822229215640289e-06,7.680467736856884e-14,,,,,6.242759741884622e-06,3.3677091429467806e-15,2.799600063205339e-06,5.3664435125847286e-18,3.942486596768053e-06,3.9630127208480924e-14,4.7552297018573454e-06,3.938297029255292e-16,,,3.627091616652732e-06,9.29898091303186e-14,3.857594440010047e-06,7.928426809196441e-14,4.350486055092023e-06,5.219883313764446e-14,,,,,2.799600063205339e-06,5.3664435125847286e-18,5.439356069287342e-06,4.932064275971531e-14,3.999376963902624e-06,1.8405307517080734e-15,7.068148091222956e-06,6.21541895525064e-14,7.068148091222956e-06,6.21541895525064e-14,4.7307794499125585e-06,6.242810339844586e-14,7.160322160601552e-06,9.579091306397962e-14,4.879670347499966e-06,8.248511340205099e-14,6.275727968148338e-06,7.188008963124963e-14,4.198173057257495e-06,6.745028291950453e-14,1.941808882321149e-06,5.2602596989645515e-15,4.158515146339633e-06,6.740663081998664e-14
NGA,1.5626575145228144e-05,7.842140313148264e-13,2.959879755806743e-05,6.342549199859892e-16,1.8140776817666422e-05,7.975079245339371e-13,1.3183259946142901e-05,7.5870673565221e-13,2.0109383913180326e-05,1.034487418242873e-12,1.1000983755957023e-05,6.16912778053641e-13,,,1.818799095757282e-05,7.525992181044729e-13,1.8307623813273077e-05,7.560315693375095e-13,1.865808490336403e-05,3.498794580630869e-13,8.150876268318953e-06,1.0497694383017246e-14,1.7428552041489686e-05,7.709288029381651e-13,1.7001133744642913e-05,5.389135979813999e-13,,,1.2965572272658129e-05,5.554746030473547e-13,,,,,1.41374241761103e-05,7.722947451269346e-13,,,,,1.4900365612257039e-05,7.308306174542332e-13,1.6375311550098384e-05,7.074760607107436e-13,,,1.4072720322065221e-05,1.5197587277172015e-12,,,1.78808974864351e-05,9.69384426821017e-13,1.7020987854804525e-05,9.303645423714707e-13,1.6412466308709495e-05,6.903504952224147e-13,1.6412466308709495e-05,6.903504952224147e-13,1.3829917418229703e-05,9.237410402323565e-13,1.7050316786411184e-05,8.731956202472107e-13,1.496580417559697e-05,8.087250803011884e-13,2.7659464275130318e-05,1.0983337048853373e-12,1.5491581588691426e-05,6.163350095998645e-13,1.4439204034272976e-05,4.587479142213849e-13,1.5038297985709513e-05,5.928910693669884e-13
NER,4.609955649213255e-06,1.2896657024279611e-15,,,6.396055018167093e-06,3.4213976708734922e-15,5.827417047771938e-06,1.753911141613242e-15,4.804160888883934e-06,4.73216982915026e-16,3.2565100029146674e-06,9.94503722338079e-16,,,7.219352929674198e-06,3.923663066080048e-16,7.518205679534362e-06,5.087757403555055e-15,,,5.315646085747963e-06,6.81899463353973e-16,6.102369017297837e-06,3.954646246691003e-15,,,,,3.880093516455564e-06,1.1243946218236349e-15,,,,,2.335931405331607e-06,3.567517345191976e-16,,,,,5.123291586358595e-06,1.0948121786693894e-15,5.632508089741299e-06,4.0832046272231063e-16,,,5.127650908156935e-06,1.0470673279953932e-15,,,1.0027197537137117e-05,3.6212218727004153e-16,1.5309446341911275e-05,2.198284314344636e-15,4.056004754247103e-06,1.1034763231088736e-15,4.056004754247103e-06,1.1034763231088736e-15,4.0586713489385045e-06,1.135549380004985e-15,4.268818713718892e-06,1.0912265261550383e-15,4.071353841770943e-06,1.2826534788788263e-15,2.486486752918727e-06,1.3073756242135117e-15,4.238067010065688e-06,1.0200841926540324e-15,4.734416968077985e-07,5.200944901461428e-16,1.8698138704444047e-06,7.766393647733064e-16
NIC,0.00016916200084422916,4.813541281258609e-12,0.00015803388735250506,2.5349846396575585e-12,0.00015696456327001342,6.976971872291221e-12,0.00020266314783894522,5.53422663843868e-12,0.00014689137550287978,7.064616436650749e-12,,,,,0.00018516562777233303,4.89843280095094e-12,0.0001697467296740658,4.545476838666255e-12,0.00020534935327841625,5.53747059980494e-12,0.00020388039095500048,5.903911780891641e-12,0.0001790194689738617,4.866144121363586e-12,0.0001286725764040873,5.609130653250297e-12,,,0.00013405606597611614,3.496375987740494e-12,,,,,0.0001877688779971598,4.535310074173589e-12,,,,,0.00016448364292709873,4.970357804238319e-12,0.0001758070235660729,6.174941700914481e-12,,,0.00012527637524286438,6.903414006280449e-12,,,0.00020292263595703721,6.067591872110506e-12,0.00022843135598216721,1.2921470271961887e-11,0.0001729298794759625,6.4475963304661836e-12,0.0001729298794759625,6.4475963304661836e-12,0.00016262556633194768,6.951536000647817e-12,9.572751098061874e-05,2.4321978803039076e-11,,,0.00016540285549475136,7.052351685717459e-12,0.00016679136665471184,2.890191081909445e-11,0.000131389363739853,4.177047691913329e-12,0.00014350812013505488,2.9678889545379455e-11
