,nes,nes_err,ban,ban_err,veg,veg_err,grd,grd_err,frt,frt_err,mlt,mlt_err,brl,brl_err,rt3,rt3_err,rt2,rt2_err,olp,olp_err,tob,tob_err,rt1,rt1_err,cc2,cc2_err,olv,olv_err,srg,srg_err,rsd,rsd_err,oce,oce_err,cot,cot_err,sfl,sfl_err,whe,whe_err,pls,pls_err,mze,mze_err,sub,sub_err,suc,suc_err,fdd,fdd_err,soy,soy_err,rcw,rcw_err,bvmeat,bvmeat_err,bvmilk,bvmilk_err,sgmeat,sgmeat_err,chickens,chickens_err,ducks,ducks_err,pigs,pigs_err,crop,crop_err,past,past_err,gh_all,gh_all_err
MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
GUM,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
ASM,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
PRI,9.979874960249808e-05,6.016456561062901e-12,0.00010404780750944011,5.935106393200588e-12,8.296282179693626e-05,6.926481912744419e-12,,,0.00010066013601144056,5.99788196448983e-12,,,,,0.00011646091702586774,6.152272206622146e-12,,,,,,,8.805580789756368e-05,6.2094798396608416e-12,0.0001528674740275425,4.7374896132348846e-12,,,,,,,,,,,,,,,0.00010462643133517051,5.8652525216367266e-12,9.128277344874019e-05,6.132678907666677e-12,,,,,,,,,,,0.0001455926308442475,5.774342799807935e-12,0.0001455926308442475,5.774342799807935e-12,0.000126612588432727,7.892440382268482e-12,9.94838377018783e-05,1.6975925065332453e-11,,,0.00021586673841126223,5.356356494325127e-12,0.0001433692869029056,4.447499283391287e-12,0.00012151064953177626,4.153637133014601e-12,0.00013367517294599692,4.67898878418648e-12
USA,5.814495777336272e-06,5.601817616294896e-10,,,1.4621118317620471e-05,1.118137730967818e-09,1.73061314131003e-05,5.443651605665554e-10,9.34833120649648e-06,8.324523998551359e-10,,,1.0176283308166927e-05,1.0059048800174788e-09,,,,,,,1.1025305527388064e-05,4.6400627135404003e-10,1.324337580050194e-05,9.035379837246206e-10,,,,,7.76585788453409e-06,3.47086731593615e-10,5.396642033693265e-06,1.6529751821776037e-09,7.042525592224425e-06,9.601657475340498e-10,1.6851142857455725e-05,1.60694410422532e-10,4.929490745778828e-06,1.7841496761846455e-10,7.530105946198813e-06,4.998401933331264e-10,9.253536495902607e-06,6.310138461578551e-10,7.312679643832164e-06,2.0639988712129042e-10,1.4742288279442785e-05,2.890550445946646e-10,2.6881823679162564e-05,2.0469899593587602e-10,6.505239427353734e-06,4.514962807697043e-10,6.6020434349260335e-06,1.1808541415603832e-10,1.352537792311248e-05,5.009202498697489e-11,0.00020804442797642,1.310199125396635e-06,0.00020804442797642,1.310199125396635e-06,0.0008451040319999953,1.699617634685981e-06,0.0005169992425774049,3.816772032842004e-06,0.0002412866085125673,1.782606970189814e-05,9.998999901603696e-05,3.882050283876469e-06,6.5577020007547466e-06,1.624565168540002e-06,3.481705885840285e-06,1.500738201506368e-08,4.649225774674971e-06,1.2190868933653688e-06
SGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
PCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
CYM,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGB,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
MSR,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
JEY,5.6482601180593756e-08,3.8959891354579846e-21,,,5.659872320799703e-08,3.847875626266411e-21,,,5.651354818255913e-08,3.8766362861185704e-21,,,5.6679310161426137e-08,3.826724621674964e-21,,,,,,,,,5.665449175336601e-08,3.83125402069788e-21,,,,,,,5.6674503322209434e-08,3.834790313183553e-21,5.667373285342004e-08,3.8275630896293905e-21,,,,,5.6678904342912153e-08,3.82676844861034e-21,5.6648024419757057e-08,3.8351758814769264e-21,,,5.666465944400275e-08,3.835599164676964e-21,,,5.64852414690425e-08,3.8893746979650576e-21,,,,,,,,,,,,,,,,,5.934585456966885e-08,1.0108215371264597e-20,6.067525542232028e-08,9.809808782404505e-21,6.038139978263708e-08,9.835073559970039e-21
GGY,3.560111727947685e-07,1.4631674192446623e-19,,,3.5808474460700927e-07,1.455102904822921e-19,,,3.5666046313341177e-07,1.4605468894857033e-19,,,3.540129419844475e-07,1.4717714048283865e-19,,,,,,,,,3.5633087997862473e-07,1.4618662749377608e-19,,,,,,,3.6019669839327014e-07,1.4478085560716037e-19,3.6567170036828616e-07,1.4333147791946652e-19,,,,,3.557851421567519e-07,1.4640999418566873e-19,3.5260788374558776e-07,1.478302822328783e-19,,,4.5505640199192484e-07,1.4178328367754296e-19,,,3.5484788894797783e-07,1.4680778218104017e-19,,,,,,,,,,,,,,,,,3.730444512883092e-07,2.7638366486187135e-19,,,3.730444512883092e-07,2.7638366486187135e-19
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.450894981202662e-08,4.253558588706792e-19,2.1011150693534583e-08,2.4254446930845253e-20,2.4269613164950667e-08,4.191223687639333e-19
GBR,1.7519600996045402e-06,3.3906017442491397e-15,,,1.4568726131772713e-06,2.3257637545917707e-15,,,1.8605009139850858e-06,1.574946869198217e-14,,,1.8236591369037778e-06,2.510925196894051e-15,,,,,,,,,1.546611079636925e-06,2.03856399730732e-15,,,,,,,1.6763275304227282e-06,2.0889524993561184e-15,1.663634886816002e-06,2.921239988733191e-15,,,,,1.5071379053950931e-06,2.741853716267713e-15,1.3622468001124246e-06,3.042103982505481e-16,,,1.4869944067444333e-06,1.754747964901482e-14,,,1.6663307275437482e-06,1.5031500160086388e-14,,,,,1.5694321661095944e-06,1.5562269996653015e-14,1.5694321661095944e-06,1.5562269996653015e-14,1.715076900424023e-06,1.6456993654424718e-14,1.448284723314026e-06,2.2231186749078336e-14,1.6351943726727618e-06,3.183020788127986e-14,1.7647061263395848e-06,8.991723830670289e-15,1.7007064427990313e-06,4.233278743087437e-09,2.793365535183638e-06,8.228146729174117e-15,2.3954214645486253e-06,3.0622243747403264e-09
ARE,,,,,6.775651624652098e-09,3.194581940349009e-20,,,9.769002372602592e-09,3.0910089670849784e-20,,,,,,,,,,,7.222260672376565e-09,4.283419264938192e-20,8.804387401885866e-09,2.479824654528569e-20,,,,,4.591618095731846e-09,2.745650012883688e-20,,,,,,,,,,,,,2.2124218797082474e-09,1.9912851612949415e-21,,,,,9.568458507970354e-09,3.204279738695055e-20,,,,,1.273184922661236e-08,3.0273168121819827e-19,1.273184922661236e-08,3.0273168121819827e-19,1.2897492776462851e-08,3.2687198893639174e-19,8.728998155826215e-09,3.187928379272676e-19,,,,,9.966834230570734e-09,3.527627277243797e-19,1.8049831953198928e-09,5.2518918046330255e-19,3.5439464949084064e-09,4.860920905213603e-19
UKR,4.486199666546668e-06,1.150758398991239e-14,,,4.459580689629243e-06,1.2165467471790932e-14,,,3.98327896421635e-06,1.2567852926345847e-14,4.419767374147556e-06,5.916626066453156e-15,4.600721575271204e-06,1.1469709531584248e-14,,,,,,,,,4.285776470169467e-06,1.0028052674992798e-14,,,,,,,4.130022746237991e-06,1.0498347999460378e-14,4.488944608687638e-06,1.140557330192623e-14,,,5.355272283955339e-06,6.998084071679328e-15,3.4652737875830416e-06,1.2312767214244063e-14,4.324725291128938e-06,6.441900596789643e-15,4.5915188427218325e-06,7.025384679982855e-15,3.780240437847825e-06,1.2732754459708252e-14,,,4.589330907073277e-06,1.1696904022225723e-14,4.117532476538293e-06,5.771066156153605e-15,4.006795763761198e-06,1.903382003192497e-15,4.407366804318305e-06,9.752537526251658e-15,4.407366804318305e-06,9.752537526251658e-15,5.8745976131382495e-06,1.9471615115218882e-14,3.746838249150766e-06,1.6075555024766747e-14,3.679288681738621e-06,1.2417958207148937e-14,4.016831825135393e-06,1.0386297728484995e-14,4.357475572703887e-06,4.9553686220047915e-14,4.404349072307977e-06,6.284491167116354e-15,4.366213043293198e-06,4.9398020302801204e-14
