ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,sp_count
AFG,COWP,all,-1.3739785763088096e-08,9.811364938691405e-10,deltaE per km2 per sp.,7182,30997
GBR,COWP,all,-5.978638387447695e-10,3.971986150728185e-11,deltaE per km2 per sp.,4875,30997
ALB,COWP,all,-3.310123163434844e-09,6.825480403432837e-10,deltaE per km2 per sp.,433,30997
DZA,COWP,all,-4.032400487609872e-09,2.0282454000875324e-10,deltaE per km2 per sp.,3646,30997
USA,COWP,all,-2.5790013382694063e-09,8.642553462616466e-11,deltaE per km2 per sp.,80243,30997
ATA,COWP,all,,,deltaE per km2 per sp.,,30997
ATG,COWP,all,0.0,,deltaE per km2 per sp.,4,30997
ARG,COWP,all,-6.900221496432616e-09,2.148396334471986e-10,deltaE per km2 per sp.,17172,30997
AND,COWP,all,-2.8089093551120214e-11,9.107771828387179e-11,deltaE per km2 per sp.,2,30997
AGO,COWP,all,-9.929886251400461e-09,5.764755206432616e-10,deltaE per km2 per sp.,12422,30997
ARM,COWP,all,-3.752138556205915e-09,9.672990875210578e-10,deltaE per km2 per sp.,443,30997
NLD,COWP,all,-4.133793307659062e-11,3.329564125776862e-11,deltaE per km2 per sp.,659,30997
AUS,COWP,all,-9.222568898130267e-09,2.531441582284801e-10,deltaE per km2 per sp.,18933,30997
AUT,COWP,all,-1.0194801954137204e-09,4.474854539179966e-11,deltaE per km2 per sp.,1211,30997
AZE,COWP,all,-9.58474802996316e-10,8.627817035499055e-11,deltaE per km2 per sp.,1256,30997
BHS,COWP,all,3.8589218269752406e-11,3.3419147597184495e-11,deltaE per km2 per sp.,4,30997
BRB,COWP,all,0.0,,deltaE per km2 per sp.,6,30997
BLR,COWP,all,-2.583204486272902e-10,8.724175515140591e-12,deltaE per km2 per sp.,3884,30997
BEL,COWP,all,-3.6417588744517727e-10,2.6786418357152596e-11,deltaE per km2 per sp.,555,30997
BLZ,COWP,all,-6.119772371585702e-09,4.7548024828003576e-09,deltaE per km2 per sp.,147,30997
BTN,COWP,all,-2.230136548833639e-08,8.809878853907096e-09,deltaE per km2 per sp.,284,30997
BOL,COWP,all,-1.830368659612161e-08,1.7651087467733704e-09,deltaE per km2 per sp.,7166,30997
BIH,COWP,all,-1.1725400177848511e-09,7.097489581000338e-11,deltaE per km2 per sp.,805,30997
BWA,COWP,all,-2.5740886565785762e-09,1.9433061979148923e-10,deltaE per km2 per sp.,1060,30997
NOR,COWP,all,-2.284044310369241e-11,1.7424152171585763e-11,deltaE per km2 per sp.,841,30997
COL,COWP,all,-3.853408804952523e-08,3.781413945499795e-09,deltaE per km2 per sp.,6456,30997
COM,COWP,all,-9.643408057276777e-08,5.1338509357750096e-08,deltaE per km2 per sp.,12,30997
BRA,COWP,all,-2.097656699622398e-08,8.627738745940083e-10,deltaE per km2 per sp.,62682,30997
